loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_prad,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
5676,5895158,K03935.01,Kepler-1532 b,CONFIRMED,1.093665854,0.1740,1.43990,2.1840e+02,0.013555,1.29,1681.0,1880.33,5.825000,5845.00,4.541,-0.1600,0.8740,0.9680
5683,8934103,K04009.01,Kepler-1538 b,CONFIRMED,175.138920000,0.0700,10.76700,6.3450e+02,0.022585,3.06,346.0,3.39,126.800000,5497.00,4.243,0.3200,1.2410,0.9810
5722,8282846,K04015.01,Kepler-1539 b,CONFIRMED,133.303247000,0.0630,7.34200,1.0175e+03,0.028288,2.67,301.0,1.94,142.400000,5064.00,4.474,0.1800,0.8640,0.8110
5726,7375348,K00266.01,Kepler-508 b,CONFIRMED,25.308935660,0.7990,5.77040,1.5370e+02,0.012570,1.77,710.0,60.20,20.870000,5949.00,4.272,0.1800,1.2920,1.1400
5770,9904006,K02135.03,Kepler-361 b,CONFIRMED,8.486515820,0.0090,5.26700,1.1080e+02,0.009651,1.34,1060.0,298.03,12.440000,6178.00,4.269,-0.0400,1.2670,1.0850
5783,8081187,K01951.01,Kepler-1025 b,CONFIRMED,37.322872200,0.6080,7.21460,3.0750e+02,0.016573,35.34,1654.0,1769.88,32.200000,4907.00,2.410,0.2100,19.5300,3.5730
5818,10404582,K02147.02,Kepler-362 b,CONFIRMED,10.327363510,0.7540,1.88900,1.2690e+02,0.011237,1.25,838.0,116.56,28.200000,5757.00,4.431,0.1400,1.0170,1.0160
5824,4570949,K01658.01,Kepler-76 b,CONFIRMED,1.544928892,0.9180,1.43586,5.8173e+03,0.087071,13.43,1997.0,3765.46,4.878300,6309.00,4.199,-0.1000,1.4120,1.1500
5838,11442793,K00351.05,Kepler-90 c,CONFIRMED,8.719801350,0.3430,3.74540,1.6040e+02,0.011679,1.53,987.0,224.47,16.940000,5970.00,4.317,0.1000,1.2000,1.0890
5839,11442793,K00351.06,Kepler-90 b,CONFIRMED,7.008217870,0.1560,3.81200,1.1640e+02,0.009852,1.29,1062.0,300.58,14.030000,5970.00,4.317,0.1000,1.2000,1.0890
5871,12405333,K03009.01,Kepler-1409 b,CONFIRMED,0.764863517,0.2350,1.16000,1.5020e+02,0.011108,1.04,1733.0,2145.14,4.990000,5231.00,4.476,0.0000,0.8600,0.8080
5880,11442793,K00351.04,Kepler-90 e,CONFIRMED,91.940125300,0.0250,9.19500,4.8290e+02,0.020017,2.62,450.0,9.71,77.890000,5970.00,4.317,0.1000,1.2000,1.0890
5884,7455981,K03096.01,Kepler-1425 b,CONFIRMED,14.454032900,0.5220,7.18300,7.9700e+01,0.008382,0.72,676.0,49.51,13.280000,5559.00,4.496,-0.6400,0.7900,0.7140
5890,9823519,K02793.02,Kepler-1350 c,CONFIRMED,1.766789509,0.0660,1.33450,1.0098e+03,0.028909,1.40,730.0,66.95,10.402000,3698.00,4.810,-0.2000,0.4440,0.4640
5893,8558011,K00577.02,Kepler-607 b,CONFIRMED,0.638162933,0.0920,1.23130,1.0970e+02,0.009427,0.91,1874.0,2928.31,4.024000,5244.00,4.449,0.0200,0.8880,0.8080
5942,5437945,K03791.02,Kepler-460 c,CONFIRMED,220.142913000,0.0230,19.52800,1.7964e+03,0.039068,5.94,389.0,5.40,89.460000,6340.00,4.163,-0.3800,1.3930,1.0310
5971,1873513,K04928.01,Kepler-1624 b,CONFIRMED,3.290304098,0.0900,1.72150,1.3553e+04,0.105209,4.91,540.0,20.06,16.097000,3386.00,4.810,0.4800,0.4270,0.4300
5986,5551240,K05178.01,Kepler-1626 b,CONFIRMED,4.139605130,0.3440,3.31000,1.0670e+02,0.009625,1.24,1352.0,789.48,9.090000,6535.00,4.373,-0.1000,1.1810,1.2020
6091,4760478,K05084.01,Kepler-1625 b,CONFIRMED,287.377314000,0.0150,18.82100,4.3769e+03,0.059597,11.67,350.0,3.56,123.590000,5548.00,3.964,0.1200,1.7930,1.0790
6217,6184894,K05245.01,Kepler-1627 b,CONFIRMED,7.202811850,0.0280,2.83050,1.8326e+03,0.039044,3.06,794.0,93.79,20.200000,5388.00,4.560,-0.7000,0.7170,0.6810
6240,6026438,K02045.03,Kepler-354 c,CONFIRMED,16.934810400,0.4710,3.40800,3.4630e+02,0.017030,1.31,508.0,15.77,34.200000,4650.00,4.589,-0.0400,0.7060,0.7040
6264,8753896,K02473.03,Kepler-389 c,CONFIRMED,14.512362200,0.9270,4.16300,3.5580e+02,0.021852,2.08,636.0,38.60,11.510000,5094.00,4.469,0.1600,0.8700,0.8130
6294,11177676,K03281.01,Kepler-1454 b,CONFIRMED,47.032047800,0.1610,5.89200,3.6780e+02,0.017222,1.98,492.0,13.83,61.250000,5370.00,4.337,0.1800,1.0550,0.8810
6380,7731281,K05416.01,Kepler-1628 b,CONFIRMED,76.377855000,0.5770,4.80900,1.1004e+04,0.098439,6.28,240.0,0.78,113.400000,3869.00,4.674,0.2100,0.5840,0.5870
6474,8745553,K05568.01,Kepler-1633 b,CONFIRMED,62.134919000,0.8270,8.71100,1.4750e+02,0.012505,6.71,925.0,172.96,31.900000,5889.00,3.358,0.2800,4.9120,2.0060
6503,7978202,K05454.01,Kepler-1630 b,CONFIRMED,509.997402000,0.0254,8.48100,1.2670e+03,0.031704,2.62,182.0,0.26,473.800000,5037.00,4.540,-0.2000,0.7560,0.7240
6516,9715631,K05706.01,Kepler-1636 b,CONFIRMED,425.483539000,0.0300,17.85600,9.9660e+02,0.028707,3.20,248.0,0.89,187.200000,5977.00,4.473,0.2100,1.0220,1.1330
6525,10777591,K05827.01,Kepler-1637 b,CONFIRMED,6.109682250,0.1080,5.73500,6.0300e+01,0.007145,0.79,1093.0,337.78,8.170000,6024.00,4.309,-0.8800,1.0090,0.7560
